source_id	data_category	priority	reason_unresolved	why_it_blocks_download	suggested_manual_action	notes
SRC_3K_ACCESSION_METADATA_001	accession_metadata	P0	Only SNP-Seek landing page reachable; no exact metadata export URL	accession metadata is required for accession_id/sample_id/trait/genotype alignment	Find exact SNP-Seek mirror export, metadata file, or documented API with accession fields	Do not download landing page as metadata
SRC_3K_SNP_GENOTYPE_001	snp_genotype	P0	aws CLI unavailable and exact SNP file list not confirmed	SNP genotype may be split by chromosome or release; downloading a prefix is not reproducible	Run S3 listing in an environment with aws CLI or manually inspect authoritative file list	Keep as directory_listing_required, not download-ready
SRC_3K_INDEL_GENOTYPE_001	indel_genotype	P0	Only SNP-Seek landing page reachable; no exact short indel bulk file	indel genotype is required for v1 and cannot be replaced by SNP data	Locate exact short indel genotype file path and release	Do not mark yes without ref/alt and accession-level confirmation
SRC_3K_INDEL_GENOTYPE_002	indel_genotype	P0	aws CLI unavailable and exact VCF file names not confirmed	VCF prefix may include multiple file types; indel content and accession layout unknown	Run S3 listing for s3://3kricegenome/VCF/ and identify exact indel/joint VCF files	Must confirm insertion/deletion representation before download
SRC_REF_IRGSP_FASTA_001	reference_genome	P0	GCA landing page is not the preferred exact source	GCA page may redirect or be removed; GCF exact FTP is safer	Use SRC_REF_IRGSP_FASTA_003 for Phase 2C candidate	Retain GCA record for provenance only
SRC_TRAIT_TABLE_001	trait_table	P0	Only SNP-Seek landing page reachable; no trait export file/API confirmed	Trait table must expose accession IDs and trait values for trait_state construction	Find exact SNP-Seek/IRGCIS trait export and inspect metadata fields	Do not use for phenotype prediction
SRC_TRAIT_TABLE_003	trait_table	P0	HEAD check returned HTTP 403 and field structure unresolved	Access method and accession overlap cannot be confirmed from current check	Manually confirm access permission, file source, version, fields and checksum before download	Exact URL exists in inventory but not ready
SRC_WEAK_KNOWN_GENES_001	weak_evidence	P0	No concrete export URL or file path	Known genes require trait-specific provenance and gene ID mapping	Identify exact OGRO/Oryzabase/Q-TARO export or manual curation method	weak evidence != causal ground truth
SRC_WEAK_QTL_001	weak_evidence	P0	Only Q-TARO metadata page reachable; exact QTL export unresolved	QTL coordinate build and trait mapping are unknown	Identify exact QTL table/export and coordinate build before download	Use only as weak localization evidence
SRC_WEAK_GWAS_001	weak_evidence	P0	No concrete file URL and high evidence leakage risk	Literature GWAS can leak benchmark labels if panel/trait overlap is uncontrolled	Create manual literature curation protocol before any download	defer until provenance fields are defined
